iter	Passed	Remaining
0	3	5797
1	7	5539
2	10	5232
3	13	5138
4	16	5080
5	19	4977
6	23	4961
7	26	4947
8	29	4923
9	32	4907
10	36	4906
11	39	4846
12	42	4824
13	44	4771
14	48	4779
15	51	4760
16	54	4733
17	57	4727
18	60	4721
19	63	4703
20	66	4680
21	69	4653
22	72	4633
23	74	4600
24	77	4580
25	80	4567
26	83	4550
27	86	4531
28	89	4520
29	92	4511
30	95	4505
31	98	4502
32	101	4490
33	103	4477
34	106	4465
35	109	4445
36	112	4441
37	115	4427
38	118	4425
39	120	4415
40	123	4405
41	126	4398
42	129	4400
43	132	4392
44	135	4395
45	138	4391
46	141	4380
47	144	4379
48	147	4378
49	150	4377
50	153	4369
51	156	4366
52	159	4354
53	162	4345
54	165	4337
55	168	4332
56	170	4324
57	173	4310
58	176	4314
59	179	4305
60	182	4297
61	185	4291
62	187	4287
63	190	4283
64	194	4285
65	197	4295
66	200	4293
67	203	4290
68	206	4286
69	209	4289
70	213	4299
71	216	4301
72	219	4295
73	222	4293
74	226	4297
75	229	4296
76	232	4305
77	236	4312
78	239	4312
79	243	4319
80	246	4318
81	249	4311
82	252	4315
83	255	4314
84	258	4309
85	262	4309
86	265	4306
87	268	4303
88	271	4301
89	274	4303
90	278	4304
91	281	4303
92	284	4299
93	287	4302
94	291	4307
95	294	4307
96	297	4306
97	301	4308
98	305	4323
99	311	4366
100	315	4366
101	318	4365
102	321	4363
103	325	4362
104	328	4358
105	331	4355
106	334	4357
107	338	4358
108	341	4356
109	344	4358
110	348	4355
111	351	4353
112	354	4357
113	358	4354
114	361	4350
115	364	4351
116	368	4350
117	370	4344
118	374	4343
119	377	4340
120	381	4343
121	384	4347
122	388	4348
123	391	4348
124	395	4349
125	398	4348
126	402	4346
127	405	4342
128	408	4339
129	411	4339
130	414	4335
131	418	4334
132	421	4334
133	425	4336
134	428	4337
135	432	4336
136	436	4338
137	439	4338
138	443	4340
139	446	4340
140	450	4340
141	453	4340
142	457	4339
143	460	4339
144	464	4342
145	468	4343
146	471	4342
147	475	4343
148	479	4347
149	482	4345
150	486	4344
151	490	4347
152	493	4347
153	497	4344
154	500	4345
155	504	4344
156	507	4339
157	510	4334
158	513	4329
159	516	4327
160	520	4329
161	523	4325
162	526	4320
163	529	4316
164	533	4313
165	536	4310
166	539	4308
167	542	4305
168	546	4301
169	549	4302
170	553	4300
171	556	4298
172	560	4299
173	563	4297
174	567	4294
175	570	4291
176	573	4287
177	576	4284
178	580	4285
179	584	4284
180	587	4282
181	591	4279
182	595	4282
183	598	4280
184	602	4279
185	605	4277
186	608	4274
187	612	4275
188	616	4274
189	619	4272
190	622	4269
191	626	4270
192	629	4264
193	633	4261
194	635	4255
195	639	4253
196	642	4252
197	646	4250
198	649	4244
199	652	4240
200	655	4238
201	659	4236
202	662	4230
203	666	4233
204	669	4228
205	672	4225
206	676	4224
207	680	4225
208	683	4220
209	687	4221
210	690	4217
211	693	4214
212	696	4209
213	701	4214
214	704	4209
215	708	4210
216	711	4205
217	715	4206
218	718	4201
219	721	4200
220	724	4195
221	728	4191
222	732	4192
223	735	4190
224	738	4185
225	742	4184
226	745	4179
227	749	4179
228	752	4176
229	755	4174
230	759	4170
231	763	4170
232	766	4168
233	769	4165
234	772	4160
235	776	4157
236	779	4151
237	782	4148
238	785	4143
239	788	4141
240	791	4137
241	795	4133
242	798	4131
243	802	4129
244	805	4126
245	809	4124
246	813	4124
247	816	4123
248	820	4122
249	824	4121
250	827	4117
251	831	4116
252	834	4113
253	837	4110
254	841	4107
255	844	4105
256	848	4103
257	851	4101
258	855	4099
259	859	4097
260	862	4092
261	865	4088
262	868	4084
263	871	4080
264	874	4077
265	877	4073
266	881	4069
267	884	4066
268	887	4062
269	890	4058
270	894	4055
271	897	4051
272	901	4051
273	905	4050
274	908	4047
275	911	4042
276	915	4043
277	918	4038
278	922	4036
279	925	4031
280	929	4031
281	932	4028
282	936	4025
283	939	4021
284	942	4017
285	945	4014
286	949	4012
287	952	4007
288	956	4006
289	959	4002
290	962	4000
291	965	3995
292	968	3991
293	972	3987
294	975	3985
295	979	3982
296	982	3978
297	985	3974
298	988	3970
299	992	3968
300	995	3964
301	998	3960
302	1001	3956
303	1004	3952
304	1007	3948
305	1011	3945
306	1014	3941
307	1017	3936
308	1020	3933
309	1023	3929
310	1026	3924
311	1029	3920
312	1032	3915
313	1035	3910
314	1038	3905
315	1041	3901
316	1044	3896
317	1046	3891
318	1050	3887
319	1053	3884
320	1056	3880
321	1060	3877
322	1063	3874
323	1066	3871
324	1069	3867
325	1072	3862
326	1075	3858
327	1078	3855
328	1081	3850
329	1084	3844
330	1087	3841
331	1090	3838
332	1094	3834
333	1097	3830
334	1100	3828
335	1103	3823
336	1106	3818
337	1109	3815
338	1112	3810
339	1115	3806
340	1118	3801
341	1121	3797
342	1124	3793
343	1128	3791
344	1131	3787
345	1134	3782
346	1137	3778
347	1139	3773
348	1143	3770
349	1146	3765
350	1149	3763
351	1152	3759
352	1155	3755
353	1159	3753
354	1162	3749
355	1165	3746
356	1169	3744
357	1172	3740
358	1175	3736
359	1178	3731
360	1181	3727
361	1184	3724
362	1187	3719
363	1190	3715
364	1193	3711
365	1196	3706
366	1199	3702
367	1202	3698
368	1205	3695
369	1208	3691
370	1211	3688
371	1214	3683
372	1217	3679
373	1220	3675
374	1224	3672
375	1227	3667
376	1229	3663
377	1232	3659
378	1235	3655
379	1239	3652
380	1242	3649
381	1245	3646
382	1249	3643
383	1252	3639
384	1255	3634
385	1258	3630
386	1261	3628
